,Adj_Close,Close,High,Low,Open,Volume
2004-09-03,26.5569,46.6572,47.9715,46.1095,47.9715,5039400
2004-09-06,26.9309,47.3143,47.7524,46.0,46.6572,2588200
2004-09-07,27.1179,47.6428,47.9715,47.4239,47.4239,3481000
2004-09-08,27.1179,47.6428,48.1905,47.5333,48.1905,2128800
2004-09-09,27.1179,47.6428,47.9715,47.4239,47.4239,2892900
2004-09-10,27.3672,48.0809,48.1905,47.6428,47.8619,3036600
2004-09-13,28.8635,50.7096,51.3666,48.5191,48.6285,13600000
2004-09-14,28.5518,50.162,50.7096,50.162,50.7096,5297900
2004-09-15,28.8635,50.7096,50.8191,50.2714,50.2714,3141100
2004-09-16,28.8011,50.6,50.8191,50.0524,50.4905,4058200
2004-09-17,28.4894,50.0524,50.7096,49.3952,50.7096,1429400
2004-09-20,29.1752,51.2572,51.2572,50.0524,50.6,3541100
2004-09-21,30.2349,53.119,53.119,51.0381,51.2572,8092500
2004-09-22,29.9232,52.5714,53.119,52.1333,53.119,2487500
2004-09-23,29.2998,51.4762,52.2429,51.2572,52.1333,3078300
2004-09-24,29.6115,52.0238,52.5714,51.4762,51.4762,3628100
2004-09-27,29.3622,51.5857,52.0238,50.9285,52.0238,1266400
2004-09-29,29.2998,51.4762,51.5857,50.9285,51.5857,1622200
2004-09-30,29.6115,52.0238,52.2429,51.6953,51.9142,3706000
2004-10-01,30.3596,53.3381,53.3381,52.1333,52.1333,7580700
2004-10-04,30.5466,53.6666,54.2143,53.4477,53.6666,6005300
2004-10-05,31.17,54.7619,55.3095,53.6666,53.6666,11013200
2004-10-06,31.17,54.7619,56.4047,54.5429,54.7619,9466900
2004-10-07,31.4817,55.3095,55.8571,54.7619,55.3095,3141700
2004-10-08,31.7934,55.8571,55.8571,53.9953,54.7619,3970500
2004-10-11,31.1077,54.6525,55.3095,54.3238,54.7619,2416800
2004-10-12,31.1077,54.6525,55.3095,54.2143,54.6525,2276500
2004-10-13,30.7337,53.9953,54.7619,53.9953,54.5429,2269000
2004-10-14,30.8583,54.2143,54.4334,53.6666,53.8857,2139300
2004-10-15,30.6089,53.7762,54.2143,53.5571,54.2143,1768400
2004-10-18,30.5466,53.6666,54.1048,53.3381,53.7762,1412900
2004-10-19,30.9206,54.3238,54.6525,53.5571,53.6666,2014100
2004-10-20,30.7337,53.9953,55.3095,53.7762,54.7619,2829100
2004-10-21,30.5466,53.6666,53.9953,52.9,53.4477,2223500
2004-10-22,30.5466,53.6666,53.9953,53.3381,53.6666,1361200
2004-10-26,30.5466,53.6666,53.8857,52.9,53.119,3486200
2004-10-27,30.3596,53.3381,54.1048,52.9,53.6666,2509200
2004-10-28,30.5466,53.6666,54.6525,53.5571,53.9953,3222900
2004-10-29,31.4817,55.3095,55.8571,53.8857,53.8857,8184500
2004-11-01,31.17,54.7619,55.8571,54.2143,55.8571,1605900
2004-11-02,31.4817,55.3095,55.8571,54.3238,54.7619,2107900
2004-11-03,33.0402,58.0476,58.0476,54.7619,55.8571,9091900
2004-11-04,32.4168,56.9523,58.0476,56.9523,58.0476,7859400
2004-11-05,32.7286,57.5001,58.0476,56.4047,57.5001,17842100
2004-11-08,32.4168,56.9523,57.5001,55.8571,57.5001,3996600
2004-11-09,33.0402,58.0476,58.0476,55.8571,56.9523,2730900
2004-11-10,33.6637,59.1429,59.6904,57.5001,58.0476,8356900
2004-11-11,32.7286,57.5001,59.1429,57.5001,59.1429,2201400
2004-11-12,32.7286,57.5001,58.0476,57.5001,57.5001,1794600
2004-11-15,33.0402,58.0476,58.5953,57.5001,57.5001,2487600
2004-11-16,33.0402,58.0476,58.0476,56.9523,58.0476,1783800
2004-11-17,32.7286,57.5001,58.5953,56.4047,58.0476,4256900
2004-11-18,32.1051,56.4047,58.0476,56.4047,57.5001,5208900
2004-11-19,31.7934,55.8571,57.5001,55.3095,56.4047,8581000
2004-11-22,30.5466,53.6666,55.8571,53.6666,55.8571,4449200
2004-11-23,30.6089,53.7762,54.6525,53.6666,54.2143,4662100
2004-11-24,30.796,54.1048,54.3238,53.6666,53.7762,4266600
2004-11-25,31.17,54.7619,55.3095,53.8857,54.2143,1873400
2004-11-26,30.8583,54.2143,56.4047,54.2143,55.3095,3749900
2004-11-29,30.8583,54.2143,55.3095,54.2143,54.7619,3698800
2004-11-30,31.17,54.7619,55.3095,53.7762,54.2143,5448300
2004-12-01,31.4817,55.3095,55.8571,54.2143,54.4334,2598800
2004-12-02,31.7934,55.8571,56.4047,55.3095,55.8571,3570000
2004-12-03,32.4168,56.9523,56.9523,55.8571,56.4047,2845400
2004-12-06,32.7286,57.5001,57.5001,55.8571,56.4047,5354000
2004-12-07,32.7286,57.5001,57.5001,55.3095,57.5001,6698400
2004-12-08,32.4168,56.9523,57.5001,56.4047,57.5001,4938100
2004-12-09,33.0402,58.0476,58.0476,56.4047,56.9523,6359500
2004-12-10,33.352,58.5953,58.5953,57.5001,58.0476,7436500
2004-12-13,32.1051,56.4047,59.1429,55.8571,58.5953,3436400
2004-12-14,32.7286,57.5001,57.5001,56.4047,57.5001,1065700
2004-12-15,32.7286,57.5001,58.0476,56.9523,57.5001,2559100
2004-12-16,33.352,58.5953,59.1429,57.5001,58.5953,3586100
2004-12-17,33.352,58.5953,59.1429,57.5001,58.5953,2747800
2004-12-20,33.6637,59.1429,59.1429,57.5001,57.5001,2593400
2004-12-21,32.4168,56.9523,58.0476,56.9523,57.5001,4163500
2004-12-22,32.4168,56.9523,57.5001,56.4047,56.9523,3264500
2004-12-23,33.0402,58.0476,58.0476,56.4047,56.9523,3394000
2004-12-24,32.7286,57.5001,57.5001,56.9523,57.5001,878300
2004-12-27,32.4168,56.9523,57.5001,56.9523,57.5001,470500
2004-12-28,32.7286,57.5001,58.0476,56.9523,56.9523,1349700
2004-12-29,33.0402,58.0476,58.5953,57.5001,57.5001,4357700
2004-12-30,33.6637,59.1429,59.6904,58.0476,58.0476,8871300
2004-12-31,34.9104,61.3333,61.3333,59.1429,59.6904,10458600
2005-01-03,34.287,60.238,61.3333,59.6904,61.3333,2744100
2005-01-04,33.6637,59.1429,60.238,58.0476,59.6904,2221400
2005-01-05,32.1051,56.4047,58.0476,55.8571,58.0476,6529200
2005-01-06,32.4168,56.9523,58.0476,55.8571,56.4047,3982800
2005-01-07,32.4168,56.9523,58.0476,56.9523,57.5001,1597300
2005-01-10,32.4168,56.9523,57.5001,56.4047,56.9523,1474600
2005-01-11,32.7286,57.5001,58.0476,56.9523,56.9523,2284800
2005-01-12,33.0402,58.0476,58.0476,56.9523,58.0476,2917900
2005-01-13,32.4168,56.9523,58.0476,56.4047,58.0476,2709100
2005-01-14,31.7934,55.8571,56.9523,55.8571,56.9523,3876400
2005-01-17,32.4168,56.9523,56.9523,56.4047,56.4047,4685600
2005-01-18,32.1051,56.4047,56.9523,56.4047,56.9523,2509100
